3.400000 1.662900 1.376300 1.166600 0.948400 4.490600
3.500000 1.664000 1.371200 1.149800 0.962500 4.535900
3.600000 1.661900 1.378600 1.140600 0.970000 4.557900
3.700000 1.665700 1.369100 1.147300 0.964700 4.568400
3.800000 1.654500 1.383500 1.144400 0.971200 4.585600
3.900000 1.666800 1.383000 1.150500 0.961300 4.600200
4.000000 1.675900 1.402100 1.149400 0.972900 4.613900
4.100000 1.672400 1.399400 1.152100 0.980300 4.630800
4.200000 1.688800 1.385100 1.151800 0.977900 4.647200
4.300000 1.692000 1.394800 1.161400 0.970800 4.671100
4.400000 1.677000 1.387400 1.168000 0.956000 4.680500
4.500000 1.659700 1.391000 1.146700 0.961300 4.706000
4.600000 1.678300 1.360000 1.156100 0.948300 4.719500
4.700000 1.689200 1.359600 1.144000 0.946300 4.746800
4.800000 1.673600 1.371100 1.144300 0.954700 4.747700
4.900000 1.671300 1.389000 1.133200 0.954400 4.746100
5.000000 1.670900 1.403000 1.138900 0.947900 4.750300
5.100000 1.680600 1.393300 1.164800 0.942100 4.751300
5.200000 1.678700 1.415500 1.157800 0.946900 4.751100
5.300000 1.655600 1.434500 1.171400 0.953800 4.746400
5.400000 1.653300 1.391600 1.195900 0.958000 4.743500
5.500000 1.658600 1.397300 1.168500 0.972500 4.760400
5.600000 1.657700 1.375500 1.159100 0.973800 4.777300
5.700000 1.657000 1.392000 1.166400 0.966000 4.776800
5.800000 1.661400 1.402500 1.161300 0.948100 4.801700
5.900000 1.673400 1.407500 1.168800 0.956500 4.794500
6.000000 1.677400 1.391100 1.174800 0.968500 4.802600
6.100000 1.668300 1.404000 1.181500 0.966100 4.792800
6.200000 1.662200 1.404000 1.180200 0.985300 4.783000
6.300000 1.644600 1.390100 1.187000 0.985400 4.798900
6.400000 1.655000 1.394200 1.182500 0.979200 4.819900
6.500000 1.671600 1.390900 1.162100 0.976800 4.837700
6.600000 1.683400 1.385900 1.165600 0.976200 4.847300
6.700000 1.693500 1.396200 1.168000 0.963200 4.846200
6.800000 1.694900 1.383000 1.163700 0.970300 4.861300
6.900000 1.666900 1.416000 1.146700 0.972400 4.859300
7.000000 1.670600 1.409100 1.162100 0.950100 4.861200
7.100000 1.665200 1.393900 1.168800 0.960100 4.855700
7.200000 1.673900 1.391800 1.161800 0.963400 4.852400
7.300000 1.669800 1.392700 1.172100 0.964500 4.857600
7.400000 1.675900 1.392500 1.175100 0.963900 4.852200
7.500000 1.675200 1.397800 1.178500 0.963200 4.849000
7.600000 1.670600 1.402200 1.174300 0.968800 4.844400
7.700000 1.684700 1.400800 1.151700 0.985000 4.851100
7.800000 1.674800 1.394400 1.152500 0.972700 4.852300
7.900000 1.680900 1.382800 1.164700 0.974600 4.855500
8.000000 1.680800 1.390200 1.160200 0.968900 4.859900
8.100000 1.661300 1.404800 1.169700 0.966900 4.850300
8.200000 1.669200 1.395900 1.156800 0.960500 4.871700
8.300000 1.677600 1.373400 1.159100 0.960600 4.856800
8.400000 1.683300 1.382100 1.160400 0.946000 4.860500
8.500000 1.684200 1.405000 1.146000 0.957200 4.849000
8.600000 1.694300 1.396500 1.152900 0.948900 4.858000
8.700000 1.688100 1.404800 1.167500 0.954000 4.835600
8.800000 1.683200 1.409300 1.170200 0.954300 4.839800
8.900000 1.675600 1.402900 1.164400 0.966300 4.848500
9.000000 1.660100 1.387600 1.177800 0.961800 4.848800
9.100000 1.675300 1.393700 1.182900 0.965300 4.837800
9.200000 1.650200 1.404700 1.168100 0.976300 4.847500
9.300000 1.675900 1.403800 1.162200 0.967500 4.851000
9.400000 1.681800 1.398400 1.152800 0.955700 4.860900
9.500000 1.676200 1.408500 1.164800 0.956800 4.857500
